title_text;link_href
¿Ya tomaste el Curso de Pensamiento Computacional?;https://platzi.com/clases/1775-algoritmos-python/25220-introduccion-al-curso/
Introducción a la complejidad algorítmica;https://platzi.com/clases/1775-algoritmos-python/25259-introduccion-a-la-complejidad-algoritmica/
Abstracción;https://platzi.com/clases/1775-algoritmos-python/25260-conteo-abstracto-de-operacion/
Notación asintótica;https://platzi.com/clases/1775-algoritmos-python/25261-notacion-asintotica/
Clases de complejidad algorítmica;https://platzi.com/clases/1775-algoritmos-python/25262-clases-de-complejidad-algoritmica/
Búsqueda lineal;https://platzi.com/clases/1775-algoritmos-python/25263-busqueda-lineal/
Búsqueda binaria;https://platzi.com/clases/1775-algoritmos-python/25264-busqueda-binaria/
Ordenamiento de burbuja;https://platzi.com/clases/1775-algoritmos-python/25265-ordenamiento-de-burbuja/
Ordenamiento por inserción;https://platzi.com/clases/1775-algoritmos-python/25266-ordenamiento-por-insercion/
Ordenamiento por mezcla;https://platzi.com/clases/1775-algoritmos-python/25267-ordenamiento-por-mezcla/
Ambientes virtuales;https://platzi.com/clases/1775-algoritmos-python/25268-ambientes-virtuales/
¿Por qué graficar?;https://platzi.com/clases/1775-algoritmos-python/25269-por-que-graficar/
Graficado simple;https://platzi.com/clases/1775-algoritmos-python/25270-graficado-simple/
Introducción a la optimización;https://platzi.com/clases/1775-algoritmos-python/25272-introduccion-a-la-optimizacion/
El problema del morral;https://platzi.com/clases/1775-algoritmos-python/25273-el-problema-del-morral/
Conclusiones;https://platzi.com/clases/1775-algoritmos-python/25274-conclusiones/
